p4_prob,experiment,variant,average_score,average_steps,time_per_step_ms,rate_1024,rate_2048,rate_4096,rate_8192,rate_16384,rate_32768,micro_variance,micro_entropy,micro_depth
0.1,MCTS-State,State MCTS,28934.96,1517.04,58.887887914641944,0.98,0.7,0.06,0.0,0.0,0.0,250.95549927670717,0.39657246364965465,14.84
0.1,MCTS-After,Afterstate MCTS,35064.24,1776.32,60.39253210210156,1.0,0.88,0.16,0.0,0.0,0.0,236.19011756955064,0.40546698416781124,15.02
0.2,MCTS-State,State MCTS,25214.96,1246.46,57.67486511948335,0.94,0.62,0.04,0.0,0.0,0.0,255.54511568766128,0.3884989802010015,14.24
0.2,MCTS-After,Afterstate MCTS,28831.84,1394.56,62.93948195362008,1.0,0.7,0.1,0.0,0.0,0.0,237.07824224367909,0.3918040966080222,14.84
0.3,MCTS-State,State MCTS,22425.68,1052.98,60.403706627095445,0.96,0.52,0.02,0.0,0.0,0.0,258.6916763231655,0.3803352511306355,14.44
0.3,MCTS-After,Afterstate MCTS,25388.0,1155.66,62.83173690891476,0.9,0.64,0.08,0.0,0.0,0.0,237.31046875043776,0.3859688816959788,14.38
0.4,MCTS-State,State MCTS,21260.48,943.66,57.783620364776745,0.92,0.56,0.0,0.0,0.0,0.0,260.6157904745111,0.3714538474257485,14.12
0.4,MCTS-After,Afterstate MCTS,22369.68,992.46,64.83204506104225,0.96,0.52,0.02,0.0,0.0,0.0,243.07863461260044,0.376258506920278,14.48
0.5,MCTS-State,State MCTS,16852.32,740.52,59.38537899724681,0.9,0.24,0.0,0.0,0.0,0.0,261.5614928684929,0.3646926453751441,13.6
0.5,MCTS-After,Afterstate MCTS,19219.04,822.56,64.46989276297688,0.9,0.4,0.0,0.0,0.0,0.0,240.32498911896278,0.36978110608767073,14.82
0.6,MCTS-State,State MCTS,16194.48,670.22,59.83378403136855,0.92,0.28,0.0,0.0,0.0,0.0,259.66149332677344,0.3611317004418552,13.84
0.6,MCTS-After,Afterstate MCTS,16904.72,700.12,66.23685203761757,0.88,0.28,0.0,0.0,0.0,0.0,242.22996657426384,0.36046188296846965,14.62
0.7,MCTS-State,State MCTS,15796.72,626.52,64.40244256627288,0.88,0.26,0.0,0.0,0.0,0.0,263.79167149792016,0.35750643436440305,14.16
0.7,MCTS-After,Afterstate MCTS,14870.88,592.92,68.84895249450418,0.74,0.26,0.0,0.0,0.0,0.0,242.70197460637442,0.361696235801215,14.38
0.8,MCTS-State,State MCTS,15373.52,582.64,62.8156050773031,0.86,0.22,0.0,0.0,0.0,0.0,257.45572361622254,0.3561743504294925,14.22
0.8,MCTS-After,Afterstate MCTS,14879.6,567.34,66.46441568068623,0.76,0.22,0.0,0.0,0.0,0.0,241.7040573045068,0.35843375705805014,14.24
0.9,MCTS-State,State MCTS,13976.56,513.16,59.88457740055222,0.78,0.22,0.0,0.0,0.0,0.0,254.9545519748946,0.3665521851225322,14.42
0.9,MCTS-After,Afterstate MCTS,15410.24,559.02,70.22986497642523,0.86,0.22,0.0,0.0,0.0,0.0,240.57559951160863,0.3634795714993331,14.62
