average_score,average_steps,time_per_step_ms,rate_1024,rate_2048,rate_4096,rate_8192,rate_16384,rate_32768,experiment,variant,algorithm,depth,leaf_mode,use_afterstate,use_pruning,risk_beta,score_std,b_eff,compression_ratio,node_count
10949.12,677.06,15.953282379708819,0.58,0.0,0.0,0.0,0.0,0.0,H-1,State Heuristic (No Risk),expectimax,2,state,False,False,0.0,4138.435572242245,47.54743556332934,0.9963072676986181,2596.6583359019114
12505.12,748.22,4.3125349743578,0.66,0.06,0.0,0.0,0.0,0.0,H-2,Afterstate Heuristic (No Risk),expectimax,2,afterstate,True,False,0.0,5657.477772435345,14.470012988664637,0.5024038157056082,220.69090842740715
11139.36,683.18,15.963697065419758,0.58,0.04,0.0,0.0,0.0,0.0,H-3.1,Heuristic + Risk (b=0.1),expectimax,2,afterstate_dual_risk,True,False,0.1,5003.286814724896,14.572237763151174,0.4984858424599255,223.95559140277757
11244.32,691.7,15.344852027318007,0.58,0.02,0.0,0.0,0.0,0.0,H-3.2,Heuristic + Risk (b=0.2),expectimax,2,afterstate_dual_risk,True,False,0.2,4642.382549682869,14.34119363196993,0.5078563600198376,217.44370972712647
11107.28,679.26,15.710715069037656,0.6,0.04,0.0,0.0,0.0,0.0,H-3.3,Heuristic + Risk (b=0.3),expectimax,2,afterstate_dual_risk,True,False,0.3,4955.408435396623,14.425186793338348,0.5042267742781977,219.96179057479546
11569.6,694.34,15.524059797565997,0.56,0.1,0.0,0.0,0.0,0.0,H-3.4,Heuristic + Risk (b=0.4),expectimax,2,afterstate_dual_risk,True,False,0.4,5908.37897227319,14.524670092445806,0.5001150480264579,222.68546127198763
10965.36,671.92,15.521602075711792,0.52,0.06,0.0,0.0,0.0,0.0,H-3.5,Heuristic + Risk (b=0.5),expectimax,2,afterstate_dual_risk,True,False,0.5,5750.0985235385315,14.470593092931844,0.5028309082563509,221.25947283190652
12473.12,752.62,14.898617673493764,0.72,0.02,0.0,0.0,0.0,0.0,H-3.6,Heuristic + Risk (b=0.6),expectimax,2,afterstate_dual_risk,True,False,0.6,4133.083229938638,14.370579640382056,0.5056822990432265,217.7636260698933
11545.52,706.34,15.724363002189333,0.5,0.06,0.0,0.0,0.0,0.0,H-3.7,Heuristic + Risk (b=0.7),expectimax,2,afterstate_dual_risk,True,False,0.7,5933.715619205222,14.50659625656952,0.5001549498542947,221.87965798206497
12725.92,758.9,14.83328315617766,0.7,0.06,0.0,0.0,0.0,0.0,H-3.8,Heuristic + Risk (b=0.8),expectimax,2,afterstate_dual_risk,True,False,0.8,5657.631461450984,14.368456908897283,0.5059028781653421,217.7564881576875
108790.88,4694.38,17.749114295365104,1.0,1.0,0.88,0.54,0.02,0.0,N-3.1,Dual N-Tuple (b=0.1),expectimax,2,afterstate_dual_risk,True,False,0.1,46021.726083509726,13.023413158883589,0.5540395634251292,175.9541774580548
110915.28,4771.48,18.673588848431887,1.0,0.96,0.92,0.54,0.02,0.0,N-3.2,Dual N-Tuple (b=0.2),expectimax,2,afterstate_dual_risk,True,False,0.2,42855.839803247356,12.983749627691056,0.5559406048274448,174.91587280300035
96563.52,4211.2,18.492269032816964,1.0,0.92,0.86,0.46,0.0,0.0,N-3.3,Dual N-Tuple (b=0.3),expectimax,2,afterstate_dual_risk,True,False,0.3,41987.94844725805,13.03953263893768,0.553251602013698,176.33324481524323
113517.52,4874.48,17.0612577141181,1.0,1.0,0.94,0.58,0.02,0.0,N-3.4,Dual N-Tuple (b=0.4),expectimax,2,afterstate_dual_risk,True,False,0.4,39376.98024696154,12.940234580237172,0.5575199923970124,173.690949359754
108221.04,4691.42,17.289046837999546,1.0,0.98,0.88,0.56,0.0,0.0,N-3.5,Dual N-Tuple (b=0.5),expectimax,2,afterstate_dual_risk,True,False,0.5,42620.84841058892,12.92454940368161,0.557900720032055,173.41015571833913
112259.36,4847.9,16.800011560389656,1.0,0.96,0.92,0.56,0.0,0.0,N-3.6,Dual N-Tuple (b=0.6),expectimax,2,afterstate_dual_risk,True,False,0.6,40712.26477697354,12.897379243518424,0.5591129944934562,172.78836017715898
103981.68,4512.66,17.681941218945557,1.0,0.98,0.9,0.52,0.0,0.0,N-3.7,Dual N-Tuple (b=0.7),expectimax,2,afterstate_dual_risk,True,False,0.7,40054.53103829329,12.958868775066467,0.5563102420226399,174.23054619932506
87859.52,3913.94,17.535037140595715,1.0,0.94,0.8,0.34,0.0,0.0,N-3.8,Dual N-Tuple (b=0.8),expectimax,2,afterstate_dual_risk,True,False,0.8,40371.27259536909,13.02941817160035,0.553894325468111,176.0975350801037
