experiment,variant,p4_prob,phase,average_score,average_steps,time_per_step_ms,rate_1024,rate_2048,rate_4096,rate_8192,rate_16384,rate_32768
3-A,"Q(s,a)+StateNTuple",0.1,zero-shot,3525.52,287.28,0.1719631009930061,0.0,0.0,0.0,0.0,0.0,0.0
3-B,"Q(s,a)+AfterstateNTuple",0.1,zero-shot,10615.36,682.38,0.09729584465400183,0.4,0.02,0.0,0.0,0.0,0.0
3-C,V(s')+StateNTuple,0.1,zero-shot,2959.92,251.32,0.16822572348856663,0.0,0.0,0.0,0.0,0.0,0.0
3-D,V(s')+AfterstateNTuple,0.1,zero-shot,19767.12,1113.74,0.09313723346359139,0.92,0.32,0.0,0.0,0.0,0.0
3-E,MV(s')+AfterstateNTuple,0.1,zero-shot,17957.44,1019.0,0.15712666561492813,0.8,0.26,0.02,0.0,0.0,0.0
3-A,"Q(s,a)+StateNTuple",0.2,zero-shot,3238.32,249.02,0.19149596384371756,0.0,0.0,0.0,0.0,0.0,0.0
3-B,"Q(s,a)+AfterstateNTuple",0.2,zero-shot,9314.64,575.28,0.1623986703261835,0.3,0.0,0.0,0.0,0.0,0.0
3-C,V(s')+StateNTuple,0.2,zero-shot,2704.48,221.38,0.21261427101087796,0.0,0.0,0.0,0.0,0.0,0.0
3-D,V(s')+AfterstateNTuple,0.2,zero-shot,14048.0,784.36,0.12603012949880202,0.64,0.12,0.0,0.0,0.0,0.0
3-E,MV(s')+AfterstateNTuple,0.2,zero-shot,14382.16,797.44,0.19691116187705096,0.62,0.16,0.0,0.0,0.0,0.0
3-A,"Q(s,a)+StateNTuple",0.3,zero-shot,2405.76,184.32,0.22167866281013296,0.0,0.0,0.0,0.0,0.0,0.0
3-B,"Q(s,a)+AfterstateNTuple",0.3,zero-shot,7998.8,472.08,0.1732780341203276,0.28,0.0,0.0,0.0,0.0,0.0
3-C,V(s')+StateNTuple,0.3,zero-shot,3215.52,235.66,0.22237768660909374,0.0,0.0,0.0,0.0,0.0,0.0
