p4_prob,experiment,variant,average_score,average_steps,time_per_step_ms,rate_1024,rate_2048,rate_4096,rate_8192,rate_16384,rate_32768,compression_ratio,disagreement_rate,average_regret,max_regret
0.1,M1-State-Heur,State + Heuristic,10878.72,674.24,7.605108493599931,0.56,0.0,0.0,0.0,0.0,0.0,0.9962533203320745,,,
0.1,M2-After-Heur,Afterstate + Heuristic,12693.76,755.78,1.203212064654888,0.72,0.06,0.0,0.0,0.0,0.0,0.5056515546944251,,,
0.1,M3-State-NT,State + StateNTuple,64406.96,2990.0,37.177307508091836,1.0,0.9,0.72,0.08,0.0,0.0,0.998124682305411,,,
0.1,M6-After-ANT,Afterstate + AfterstateNTuple,113551.92,4899.7,3.8090067486875365,1.0,0.96,0.92,0.56,0.0,0.0,0.552398836186105,,,
0.1,M-Regret,Disagreement Rate (State vs Afterstate),0.0,,0.0,,,,,,,0.0,0.26,1654.4883470611933,15463.620492070913
0.2,M1-State-Heur,State + Heuristic,12392.08,691.22,6.783320385283918,0.72,0.04,0.0,0.0,0.0,0.0,0.9964982922192098,,,
0.2,M2-After-Heur,Afterstate + Heuristic,11184.72,640.18,1.1401111144009466,0.54,0.04,0.0,0.0,0.0,0.0,0.5088307908860026,,,
0.2,M3-State-NT,State + StateNTuple,51441.28,2270.5,37.11691306105811,0.96,0.86,0.6,0.02,0.0,0.0,0.9979807402959147,,,
0.2,M6-After-ANT,Afterstate + AfterstateNTuple,86001.04,3535.28,3.578056066737881,1.0,0.92,0.78,0.34,0.0,0.0,0.5552362818342851,,,
0.2,M-Regret,Disagreement Rate (State vs Afterstate),0.0,,0.0,,,,,,,0.0,0.28,632.3230972053217,13755.286984443665
0.3,M1-State-Heur,State + Heuristic,10325.28,558.36,7.042687313707677,0.52,0.04,0.0,0.0,0.0,0.0,0.9962013842586745,,,
0.3,M2-After-Heur,Afterstate + Heuristic,9297.76,516.52,1.2031797505892456,0.44,0.0,0.0,0.0,0.0,0.0,0.5081739819666572,,,
0.3,M3-State-NT,State + StateNTuple,54239.2,2228.84,35.51801221183457,1.0,0.92,0.64,0.04,0.0,0.0,0.9979856763001119,,,
0.3,M6-After-ANT,Afterstate + AfterstateNTuple,69745.68,2757.96,3.3615801053451264,1.0,0.94,0.66,0.2,0.0,0.0,0.5657221310727445,,,
0.3,M-Regret,Disagreement Rate (State vs Afterstate),0.0,,0.0,,,,,,,0.0,0.31,985.2202493818777,10883.859496332705
0.4,M1-State-Heur,State + Heuristic,10090.08,513.38,7.2539737560017485,0.54,0.04,0.0,0.0,0.0,0.0,0.9960169385068015,,,
0.4,M2-After-Heur,Afterstate + Heuristic,9625.2,497.66,1.1785071249418586,0.36,0.06,0.0,0.0,0.0,0.0,0.5158027406091477,,,
0.4,M3-State-NT,State + StateNTuple,36080.56,1471.58,35.32809598103684,0.94,0.76,0.26,0.02,0.0,0.0,0.9976899616668393,,,
0.4,M6-After-ANT,Afterstate + AfterstateNTuple,48368.88,1882.56,3.3779800427138,0.94,0.88,0.46,0.06,0.0,0.0,0.5651902941413085,,,
